Mapping Row ID	User Intent Component	User Intent IDs	User Intent Names	IAB Audience Taxonomy Version	IAB Audience Candidate IDs	IAB Audience Candidate Names	Relationship Type	Mapping Confidence	Review Status	Mapping Notes
UIT-A-0001	Intent Domain	ID-1000	Retail and Consumer Goods	1.1		Interest-based or purchase-intent retail and consumer goods segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0002	Intent Domain	ID-1100	Apparel and Accessories	1.1		Interest-based or purchase-intent apparel and accessories segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0003	Intent Domain	ID-1110	Clothing	1.1		Interest-based or purchase-intent clothing segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0004	Intent Domain	ID-1120	Footwear and Bags	1.1		Interest-based or purchase-intent footwear and bags segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0005	Intent Domain	ID-1200	Home and Everyday Goods	1.1		Interest-based or purchase-intent home and everyday goods segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0006	Intent Domain	ID-1210	Home Essentials	1.1		Interest-based or purchase-intent home essentials segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0007	Intent Domain	ID-1220	Baby and Pet Supplies	1.1		Interest-based or purchase-intent baby and pet supplies segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0008	Intent Domain	ID-2000	Automotive	1.1		Interest-based or purchase-intent automotive segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0009	Intent Domain	ID-2100	Vehicle Purchase and Ownership	1.1		Interest-based or purchase-intent vehicle purchase and ownership segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0010	Intent Domain	ID-2110	New and Used Vehicles	1.1		Interest-based or purchase-intent new and used vehicles segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0011	Intent Domain	ID-2120	Parts Service and Accessories	1.1		Interest-based or purchase-intent parts service and accessories segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0012	Intent Domain	ID-2200	Auto Finance and Insurance	1.1		Interest-based or purchase-intent auto finance and insurance segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0013	Intent Domain	ID-2210	Leasing and Financing	1.1		Interest-based or purchase-intent leasing and financing segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0014	Intent Domain	ID-2220	Auto Coverage	1.1		Interest-based or purchase-intent auto coverage segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0015	Intent Domain	ID-3000	Travel	1.1		Interest-based or purchase-intent travel segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0016	Intent Domain	ID-3100	Transportation and Stay	1.1		Interest-based or purchase-intent transportation and stay segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0017	Intent Domain	ID-3110	Flights and Trains	1.1		Interest-based or purchase-intent flights and trains segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0018	Intent Domain	ID-3120	Hotels and Rentals	1.1		Interest-based or purchase-intent hotels and rentals segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0019	Intent Domain	ID-3200	Destinations and Activities	1.1		Interest-based or purchase-intent destinations and activities segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0020	Intent Domain	ID-3210	Destinations	1.1		Interest-based or purchase-intent destinations segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0021	Intent Domain	ID-3220	Attractions and Tours	1.1		Interest-based or purchase-intent attractions and tours segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0022	Intent Domain	ID-4000	Dining	1.1		Interest-based dining segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0023	Intent Domain	ID-4100	Restaurants and Cafes	1.1		Interest-based restaurants and cafes segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0024	Intent Domain	ID-4110	Casual Dining	1.1		Interest-based casual dining segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0025	Intent Domain	ID-4120	Premium Dining	1.1		Interest-based premium dining segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0026	Intent Domain	ID-4200	Food Ordering and Delivery	1.1		Interest-based food ordering and delivery segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0027	Intent Domain	ID-4210	Takeout	1.1		Interest-based takeout segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0028	Intent Domain	ID-4220	Delivery	1.1		Interest-based delivery segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0029	Intent Domain	ID-5000	Entertainment and Media	1.1		Interest-based entertainment and media segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0030	Intent Domain	ID-5100	Streaming and Video	1.1		Interest-based streaming and video segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0031	Intent Domain	ID-5110	Streaming Platforms	1.1		Interest-based streaming platforms segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0032	Intent Domain	ID-5120	Movies and Shows	1.1		Interest-based movies and shows segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0033	Intent Domain	ID-5200	Audio and Publishing	1.1		Interest-based audio and publishing segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0034	Intent Domain	ID-5210	Music and Podcasts	1.1		Interest-based music and podcasts segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0035	Intent Domain	ID-5220	Books and Publishing	1.1		Interest-based books and publishing segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0036	Intent Domain	ID-6000	Gaming	1.1		Interest-based gaming segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0037	Intent Domain	ID-6100	Game Access and Purchase	1.1		Interest-based game access and purchase segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0038	Intent Domain	ID-6110	Console and PC Games	1.1		Interest-based console and pc games segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0039	Intent Domain	ID-6120	Mobile Games and Add Ons	1.1		Interest-based mobile games and add ons segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0040	Intent Domain	ID-6200	Gameplay and Community	1.1		Interest-based gameplay and community segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0041	Intent Domain	ID-6210	Tips and Strategy	1.1		Interest-based tips and strategy segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0042	Intent Domain	ID-6220	Streaming and Esports	1.1		Interest-based streaming and esports segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0043	Intent Domain	ID-7000	Technology	1.1		Interest-based technology segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0044	Intent Domain	ID-7100	Devices and Hardware	1.1		Interest-based devices and hardware segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0045	Intent Domain	ID-7110	Phones and Computers	1.1		Interest-based phones and computers segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0046	Intent Domain	ID-7120	Networking and Accessories	1.1		Interest-based networking and accessories segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0047	Intent Domain	ID-7200	Software and Digital Services	1.1		Interest-based software and digital services segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0048	Intent Domain	ID-7210	Consumer Software	1.1		Interest-based consumer software segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0049	Intent Domain	ID-7220	Professional Software	1.1		Interest-based professional software segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0050	Intent Domain	ID-8000	Financial Services	1.1		Interest-based or purchase-intent financial services segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0051	Intent Domain	ID-8100	Banking and Credit	1.1		Interest-based or purchase-intent banking and credit segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0052	Intent Domain	ID-8110	Credit Cards and Loans	1.1		Interest-based or purchase-intent credit cards and loans segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0053	Intent Domain	ID-8120	Checking and Savings	1.1		Interest-based or purchase-intent checking and savings segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0054	Intent Domain	ID-8200	Investing and Wealth	1.1		Interest-based or purchase-intent investing and wealth segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0055	Intent Domain	ID-8210	Brokerage and Trading	1.1		Interest-based or purchase-intent brokerage and trading segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
