Mapping Row ID	User Intent Component	User Intent IDs	User Intent Names	IAB Content Taxonomy Version	IAB Content Candidate IDs	IAB Content Candidate Names	Relationship Type	Mapping Confidence	Review Status	Mapping Notes
UIT-C-0001	Intent Domain	ID-1000	Retail and Consumer Goods	3.1		Shopping and Consumer Products	Adjacent	Medium	Needs validation	IAB content taxonomy is topical; retail intent domains often span shopping, product, and consumer lifestyle content.
UIT-C-0002	Intent Domain	ID-1100	Apparel and Accessories	3.1		Style & Fashion	Adjacent	Medium	Needs validation	Closest content family is fashion-oriented topical content rather than a commerce taxonomy.
UIT-C-0003	Intent Domain	ID-1110	Clothing	3.1		Style & Fashion / Clothing	Adjacent	Medium	Needs validation	Clothing intent maps best to fashion or apparel-related topical content.
UIT-C-0004	Intent Domain	ID-1120	Footwear and Bags	3.1		Style & Fashion / Shoes and Accessories	Adjacent	Low	Needs validation	Closest fit is fashion and accessory-related content.
UIT-C-0005	Intent Domain	ID-1200	Home and Everyday Goods	3.1		Home & Garden / House and Home	Adjacent	Medium	Needs validation	Home-goods shopping intent maps to home-oriented topical content rather than explicit commerce state.
UIT-C-0006	Intent Domain	ID-1210	Home Essentials	3.1		Home & Garden	Adjacent	Medium	Needs validation	Home essentials are generally represented as home topic content, not as shopping posture.
UIT-C-0007	Intent Domain	ID-1220	Baby and Pet Supplies	3.1		Pets / Parenting / Family	Adjacent	Low	Needs validation	Baby and pet supply intent may touch multiple topical families and needs closer review.
UIT-C-0008	Intent Domain	ID-2000	Automotive	3.1	1	Automotive	Direct	High	Proposed	Strong topical overlap. Use content taxonomy for topic and user intent taxonomy for behavioral posture.
UIT-C-0009	Intent Domain	ID-2100	Vehicle Purchase and Ownership	3.1	30	Auto Buying and Selling	Direct	High	Proposed	Vehicle purchase and ownership intent aligns well with automotive shopping content.
UIT-C-0010	Intent Domain	ID-2110	New and Used Vehicles	3.1	30	Auto Buying and Selling	Direct	High	Proposed	Vehicle shopping has a clear automotive-buying topical analogue.
UIT-C-0011	Intent Domain	ID-2120	Parts Service and Accessories	3.1	32|34	Auto Parts|Auto Repair	Direct	High	Proposed	Parts and service content is directly represented in automotive topical content.
UIT-C-0012	Intent Domain	ID-2200	Auto Finance and Insurance	3.1	31	Auto Insurance	Adjacent	Medium	Proposed	Auto finance and insurance spans multiple financial topics; auto insurance is the clearest current content analogue.
UIT-C-0013	Intent Domain	ID-2210	Leasing and Financing	3.1	30	Auto Buying and Selling	Adjacent	Medium	Proposed	Leasing and financing align with automotive shopping content but remain more commercial than topical.
UIT-C-0014	Intent Domain	ID-2220	Auto Coverage	3.1	31	Auto Insurance	Direct	High	Proposed	Auto coverage lines up closely with auto insurance topical content.
UIT-C-0015	Intent Domain	ID-3000	Travel	3.1		Travel	Direct	Medium	Needs validation	Travel topic overlap is straightforward; exact current 3.1 node should be validated.
UIT-C-0016	Intent Domain	ID-3100	Transportation and Stay	3.1		Travel Transportation and Accommodation	Direct	Medium	Needs validation	Transportation and lodging map naturally to core travel topics.
UIT-C-0017	Intent Domain	ID-3110	Flights and Trains	3.1		Air Travel / Rail Travel	Direct	Medium	Needs validation	Flight and rail intent aligns closely with transportation travel topics.
UIT-C-0018	Intent Domain	ID-3120	Hotels and Rentals	3.1		Hotels / Vacation Rentals	Direct	Medium	Needs validation	Lodging intent aligns closely with accommodation content topics.
UIT-C-0019	Intent Domain	ID-3200	Destinations and Activities	3.1		Travel Destinations and Activities	Direct	Medium	Needs validation	Destinations and activities fit clearly in travel topical content.
UIT-C-0020	Intent Domain	ID-3210	Destinations	3.1		Travel Destinations	Direct	Medium	Needs validation	Destination discovery is topical travel content.
UIT-C-0021	Intent Domain	ID-3220	Attractions and Tours	3.1	150	Attractions	Direct	Medium	Proposed	Attractions and tours overlap with travel attraction content; descendant nodes should be validated as needed.
UIT-C-0022	Intent Domain	ID-4000	Dining	3.1	179	Bars & Restaurants	Adjacent	Medium	Proposed	Dining intent overlaps with restaurant topical content, though the user intent layer captures stronger operational signals.
UIT-C-0023	Intent Domain	ID-4100	Restaurants and Cafes	3.1	179	Bars & Restaurants	Direct	Medium	Proposed	Restaurants and cafes align closely with attractions-oriented restaurant content.
UIT-C-0024	Intent Domain	ID-4110	Casual Dining	3.1	179	Bars & Restaurants	Adjacent	Medium	Proposed	Casual dining is likely covered within broader restaurant topical content.
UIT-C-0025	Intent Domain	ID-4120	Premium Dining	3.1	179	Bars & Restaurants	Adjacent	Medium	Proposed	Premium dining remains a restaurant topical concept rather than a distinct intent state.
UIT-C-0026	Intent Domain	ID-4200	Food Ordering and Delivery	3.1	179	Bars & Restaurants	Adjacent	Low	Proposed	Food ordering and delivery are adjacent to dining topical content but more operational than aboutness.
UIT-C-0027	Intent Domain	ID-4210	Takeout	3.1	179	Bars & Restaurants	Adjacent	Low	Proposed	Takeout intent is operationally distinct from topic but still adjacent to restaurant content.
UIT-C-0028	Intent Domain	ID-4220	Delivery	3.1	179	Bars & Restaurants	Adjacent	Low	Proposed	Delivery intent is operationally distinct from topic but still adjacent to restaurant content.
UIT-C-0029	Intent Domain	ID-5000	Entertainment and Media	3.1		Entertainment and Media	Direct	Medium	Needs validation	Broad entertainment topic overlap is clear, though exact nodes should be validated.
UIT-C-0030	Intent Domain	ID-5100	Streaming and Video	3.1		Streaming / Video	Direct	Medium	Needs validation	Streaming and video are topical media concepts.
UIT-C-0031	Intent Domain	ID-5110	Streaming Platforms	3.1		Streaming Platforms	Adjacent	Medium	Needs validation	Platform-specific streaming intent is more commercial than raw content aboutness.
UIT-C-0032	Intent Domain	ID-5120	Movies and Shows	3.1		Movies and Television	Direct	Medium	Needs validation	Movies and shows align directly with entertainment content topics.
UIT-C-0033	Intent Domain	ID-5200	Audio and Publishing	3.1		Audio / Publishing	Direct	Medium	Needs validation	Audio and publishing map cleanly to media topic families.
UIT-C-0034	Intent Domain	ID-5210	Music and Podcasts	3.1		Music and Podcasts	Direct	Medium	Needs validation	Music and podcast intent aligns directly with audio topical content.
UIT-C-0035	Intent Domain	ID-5220	Books and Publishing	3.1	42	Books and Literature	Direct	High	Proposed	Books and publishing map closely to books and literature topical content.
UIT-C-0036	Intent Domain	ID-6000	Gaming	3.1		Gaming	Direct	Medium	Needs validation	Gaming as a top-level topic overlaps directly with the user intent domain.
UIT-C-0037	Intent Domain	ID-6100	Game Access and Purchase	3.1		Video Games	Direct	Medium	Needs validation	Game-access and purchase content still sits within gaming topical content.
UIT-C-0038	Intent Domain	ID-6110	Console and PC Games	3.1		Console and PC Games	Direct	Medium	Needs validation	Console and PC game topics are direct topical analogues.
UIT-C-0039	Intent Domain	ID-6120	Mobile Games and Add Ons	3.1		Mobile Games	Direct	Medium	Needs validation	Mobile game topic overlap is strong.
UIT-C-0040	Intent Domain	ID-6200	Gameplay and Community	3.1		Gaming Community / Esports / Strategy	Direct	Medium	Needs validation	Gameplay and community content map to gaming topical material.
UIT-C-0041	Intent Domain	ID-6210	Tips and Strategy	3.1		Gaming Strategy	Direct	Medium	Needs validation	Tips and strategy are topical gaming-support content.
