Unique ID	Parent ID	Name	Tier 1	Tier 2	Tier 3	Description	Typical Effect
IM-0000		Intent Modifier Taxonomy	Intent Modifier Taxonomy			Root node	
IM-1000	IM-0000	Deal Seeking	Deal Seeking			User is motivated by discounts or value	Increases lower-funnel weight
IM-1100	IM-1000	Price Sensitivity	Deal Seeking	Price Sensitivity		User is sensitive to price	Increases value-seeking signal
IM-1110	IM-1100	Coupon Focus	Deal Seeking	Price Sensitivity	Coupon Focus	User is seeking coupons or promos	Boosts transaction readiness
IM-1120	IM-1100	Price Drop Focus	Deal Seeking	Price Sensitivity	Price Drop Focus	User is waiting for lower pricing	May delay conversion timing
IM-1200	IM-1000	Value Optimization	Deal Seeking	Value Optimization		User is looking for best value	Increases comparison relevance
IM-1210	IM-1200	Bundle Focus	Deal Seeking	Value Optimization	Bundle Focus	User is interested in bundled value	Boosts purchase efficiency
IM-1220	IM-1200	Sale Event Focus	Deal Seeking	Value Optimization	Sale Event Focus	User is focused on sale events	Boosts short-term action
IM-2000	IM-0000	Local	Local			User intent is tied to local presence	Increases store-visit relevance
IM-2100	IM-2000	Location Specific	Local	Location Specific		User is focused on nearby options	Increases local actionability
IM-2110	IM-2100	Near Me	Local	Location Specific	Near Me	User is explicitly searching nearby	Strong lower-funnel signal
IM-2120	IM-2100	City or Area Specific	Local	Location Specific	City or Area Specific	User specifies a city or area	Improves geo precision
IM-2200	IM-2000	Visit Readiness	Local	Visit Readiness		User likely plans a local visit	Increases visit propensity
IM-2210	IM-2200	Hours and Directions	Local	Visit Readiness	Hours and Directions	User is checking location details	Strong store-visit signal
IM-2220	IM-2200	Availability Nearby	Local	Visit Readiness	Availability Nearby	User is checking local availability	Strong local purchase signal
IM-3000	IM-0000	Brand Focused	Brand Focused			User is focused on a specific brand	Increases brand alignment value
IM-3100	IM-3000	Single Brand	Brand Focused	Single Brand		User is focused on one brand	Useful for brand-specific packaging
IM-3110	IM-3100	Brand Research	Brand Focused	Single Brand	Brand Research	User is learning about a brand	Boosts branded research
IM-3120	IM-3100	Brand Purchase Consideration	Brand Focused	Single Brand	Brand Purchase Consideration	User is considering brand purchase	Boosts brand lower funnel
IM-3200	IM-3000	Brand Switching	Brand Focused	Brand Switching		User is comparing brands	Useful for conquesting
IM-3210	IM-3200	Switch From Brand	Brand Focused	Brand Switching	Switch From Brand	User may leave a brand	Competitive opportunity
IM-3220	IM-3200	Switch To Brand	Brand Focused	Brand Switching	Switch To Brand	User may adopt a brand	Competitive opportunity
IM-4000	IM-0000	Vendor Focused	Vendor Focused			User is focused on provider or seller choice	Boosts lead or provider comparison value
IM-4100	IM-4000	Provider Selection	Vendor Focused	Provider Selection		User is selecting among providers	Useful in lead-gen categories
IM-4110	IM-4100	Seller Discovery	Vendor Focused	Provider Selection	Seller Discovery	User is identifying who can provide	Improve lead-gen readiness
IM-4120	IM-4100	Marketplace Focus	Vendor Focused	Provider Selection	Marketplace Focus	User is selecting marketplace or seller	Improves commerce activation
IM-4200	IM-4000	Provider Evaluation	Vendor Focused	Provider Evaluation		User is evaluating provider trust or fit	Useful in service verticals
IM-4210	IM-4200	Reputation Focus	Vendor Focused	Provider Evaluation	Reputation Focus	User is checking provider credibility	Boosts validation signal
IM-4220	IM-4200	Serviceability Focus	Vendor Focused	Provider Evaluation	Serviceability Focus	User is checking whether provider fits need	Boosts lead quality
IM-5000	IM-0000	Urgency	Urgency			User appears to need action soon	Increases transaction readiness
IM-5100	IM-5000	Immediate Need	Urgency	Immediate Need		User needs action quickly	Shortens time horizon
