Mapping Row ID	User Intent Component	User Intent IDs	User Intent Names	IAB Ad Product Taxonomy Version	IAB Ad Product Candidate IDs	IAB Ad Product Candidate Names	Relationship Type	Mapping Confidence	Review Status	Mapping Notes
UIT-P-0001	Intent Domain	ID-1000	Retail and Consumer Goods	2.0	1494	Retail	Direct	High	Proposed	Retail domain overlaps directly with the ad product family.
UIT-P-0002	Intent Domain	ID-1100	Apparel and Accessories	2.0		Apparel and Accessories	Direct	Medium	Needs validation	Strong product-family overlap expected for apparel and accessories.
UIT-P-0003	Intent Domain	ID-1110	Clothing	2.0		Clothing	Direct	Medium	Needs validation	Clothing intent should map directly to apparel product categories.
UIT-P-0004	Intent Domain	ID-1120	Footwear and Bags	2.0		Footwear and Bags	Direct	Medium	Needs validation	Footwear and bag shopping intent should map directly to product-family categories.
UIT-P-0005	Intent Domain	ID-1200	Home and Everyday Goods	2.0		Home Goods	Direct	Medium	Needs validation	Home-goods intent aligns with retail product families.
UIT-P-0006	Intent Domain	ID-1210	Home Essentials	2.0		Home Essentials	Direct	Medium	Needs validation	Home-essential shopping intent aligns with retail product families.
UIT-P-0007	Intent Domain	ID-1220	Baby and Pet Supplies	2.0		Baby Products|Pet Products	Adjacent	Medium	Needs validation	Baby and pet supplies may span multiple ad product families.
UIT-P-0008	Intent Domain	ID-2000	Automotive	2.0	1551	Vehicles	Direct	High	Proposed	Strong overlap at the product/service family level.
UIT-P-0009	Intent Domain	ID-2100	Vehicle Purchase and Ownership	2.0	1551	Vehicles	Direct	High	Proposed	Vehicle purchase and ownership intent aligns directly with vehicle product categories.
UIT-P-0010	Intent Domain	ID-2110	New and Used Vehicles	2.0	1551	Vehicles	Direct	High	Proposed	New and used vehicles map directly to vehicle product families.
UIT-P-0011	Intent Domain	ID-2120	Parts Service and Accessories	2.0	1556|1558|1560	Automotive Products|Automotive Parts and Accessories|Automotive Services	Direct	High	Proposed	Parts, accessories, and service intent aligns well with ad product families.
UIT-P-0012	Intent Domain	ID-2200	Auto Finance and Insurance	2.0	1552	Automotive Leasing	Adjacent	Medium	Proposed	Auto finance and insurance spans multiple ad product areas; automotive leasing is the clearest current direct fit.
UIT-P-0013	Intent Domain	ID-2210	Leasing and Financing	2.0	1552	Automotive Leasing	Direct	High	Proposed	Useful when the commercial domain is explicitly vehicle leasing.
UIT-P-0014	Intent Domain	ID-2220	Auto Coverage	2.0		Automotive Insurance	Adjacent	Low	Needs validation	Coverage-related automotive products likely exist, but the exact current 2.0 node should be validated.
UIT-P-0015	Intent Domain	ID-3000	Travel	2.0	1529	Travel and Tourism	Direct	High	Proposed	Strong overlap at the domain level.
UIT-P-0016	Intent Domain	ID-3100	Transportation and Stay	2.0	1529	Travel and Tourism	Direct	High	Proposed	Transportation and stay intent aligns closely with the broader travel family.
UIT-P-0017	Intent Domain	ID-3110	Flights and Trains	2.0	1537|1539	Air Travel|Rail Travel	Direct	High	Proposed	Transport-specific travel intent aligns closely with ad product categories.
UIT-P-0018	Intent Domain	ID-3120	Hotels and Rentals	2.0	1530|1533|1536	Accommodations|Hotels and Resorts|Vacation Rentals	Direct	High	Proposed	Lodging intent aligns closely with travel accommodation products.
UIT-P-0019	Intent Domain	ID-3200	Destinations and Activities	2.0	1529	Travel and Tourism	Adjacent	Medium	Proposed	Destinations and activities fit travel product families, though some rows also behave like content topics.
UIT-P-0020	Intent Domain	ID-3210	Destinations	2.0	1529	Travel and Tourism	Adjacent	Medium	Proposed	Destination discovery often maps to travel demand rather than a narrower ad product node.
UIT-P-0021	Intent Domain	ID-3220	Attractions and Tours	2.0		Tours and Attractions	Adjacent	Medium	Needs validation	Attractions and tours likely map to travel experiences, but the exact node should be validated.
UIT-P-0022	Intent Domain	ID-4000	Dining	2.0		Restaurants and Dining	Direct	Medium	Needs validation	Dining domain likely aligns with restaurant or food-service ad product branches.
