Unique ID	Parent ID	Name	Tier 1	Tier 2	Tier 3	Description	Primary KPI Alignment	Lead Gen Relevance	Default Actionability	Default Performance Utility
IP-0000		Intent Pattern Taxonomy	Intent Pattern Taxonomy			Root node				
IP-1000	IP-0000	Purchase Intent	Purchase Intent			User is trying to buy a product	Purchase	Low	Eligible	High
IP-1100	IP-1000	Consumer Goods Purchase	Purchase Intent	Consumer Goods Purchase		User is trying to buy consumer products	Purchase	Low	Eligible	High
IP-1110	IP-1100	Everyday Item Purchase	Purchase Intent	Consumer Goods Purchase	Everyday Item Purchase	User is trying to buy lower-consideration goods	Purchase	Low	Eligible	High
IP-1120	IP-1100	Durable Goods Purchase	Purchase Intent	Consumer Goods Purchase	Durable Goods Purchase	User is trying to buy higher-consideration goods	Purchase	Low	Eligible	High
IP-1200	IP-1000	High Consideration Purchase	Purchase Intent	High Consideration Purchase		User is evaluating a major purchase	Purchase	Low	Eligible With Strong Confidence Only	High
IP-1210	IP-1200	Researching Major Purchase	Purchase Intent	High Consideration Purchase	Researching Major Purchase	User is researching before selecting a major item	Purchase	Low	Eligible With Strong Confidence Only	High
IP-1220	IP-1200	Ready to Buy Major Item	Purchase Intent	High Consideration Purchase	Ready to Buy Major Item	User appears close to purchase	Purchase	Low	Eligible	High
IP-2000	IP-0000	Lead Generation Intent	Lead Generation Intent			User is showing lead-oriented action intent	Lead	High	Eligible	High
IP-2100	IP-2000	Contact and Consultation	Lead Generation Intent	Contact and Consultation		User is looking to initiate contact or consultation	Lead	High	Eligible	High
IP-2110	IP-2100	Consultation Request	Lead Generation Intent	Contact and Consultation	Consultation Request	User is seeking consultation	Lead	High	Eligible	High
IP-2120	IP-2100	Contact Request	Lead Generation Intent	Contact and Consultation	Contact Request	User is trying to contact a provider	Lead	High	Eligible	High
IP-2200	IP-2000	Application and Submission	Lead Generation Intent	Application and Submission		User is preparing to submit details	Lead	High	Eligible	High
IP-2210	IP-2200	Form Submission	Lead Generation Intent	Application and Submission	Form Submission	User is likely to fill or submit a form	Lead	High	Eligible	High
IP-2220	IP-2200	Application Submission	Lead Generation Intent	Application and Submission	Application Submission	User is likely to apply or submit an application	Lead	High	Eligible	High
IP-2300	IP-2000	Sales Engagement	Lead Generation Intent	Sales Engagement		User is engaging in sales-oriented actions	Lead	High	Eligible	High
IP-2310	IP-2300	Demo Request	Lead Generation Intent	Sales Engagement	Demo Request	User is likely to request a demo	Lead	High	Eligible	High
